time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,u1,u2,u3,u4,u5,u6,q1_cmd,q2_cmd,q3_cmd,q4_cmd,q5_cmd,q6_cmd,track_err,dt,dq
0.0,-89.56,0.35,-0.08,0.35,0.26,0.26,10.0,0.0,0.0,0.0,0.0,0.0,6.28319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.44,,
0.0693,-89.56,0.35,-0.08,0.35,0.26,0.26,10.0,0.0,0.0,0.0,0.0,0.0,6.28319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-89.2919,0.0,0.0,0.0,0.0,0.0,0.35,0.0693,0.0
0.1345,-89.56,0.35,-0.08,0.35,0.26,0.26,10.0,0.0,0.0,0.0,0.0,0.0,6.28319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-88.5979,0.0,0.0,0.0,0.0,0.0,0.962,0.0652,0.0
0.1997,-89.56,0.35,-0.08,0.35,0.26,0.26,10.0,0.0,0.0,0.0,0.0,0.0,6.28319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-87.8778,0.0,0.0,0.0,0.0,0.0,1.682,0.0652,0.0
0.2649,-89.38,0.35,-0.08,0.35,0.26,0.26,10.12503,0.0,0.0,0.0,0.0,0.0,6.28182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-87.1319,0.0,0.0,0.0,0.0,0.0,2.248,0.0652,0.18
0.3301,-88.76,0.35,-0.08,0.35,0.26,0.26,10.53399,0.0,0.0,0.0,0.0,0.0,6.25825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-86.3606,0.0,0.0,0.0,0.0,0.0,2.399,0.0652,0.62
0.3992,-87.8,0.35,0.0,0.35,0.26,0.26,10.96466,0.0,0.0,0.0,0.0,0.0,6.20145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-85.5147,0.0,0.0,0.0,0.0,0.0,2.285,0.0691,0.96
0.4642,-87.45,0.35,-0.08,0.35,0.26,0.26,11.36521,0.0,0.0,0.0,0.0,0.0,6.11838,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-84.6936,0.0,0.0,0.0,0.0,0.0,2.756,0.065,0.35
0.5294,-86.83,0.35,-0.08,0.35,0.26,0.26,11.76064,0.0,0.0,0.0,0.0,0.0,6.00658,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,-83.8476,0.0,0.0,0.0,0.0,0.0,2.982,0.0652,0.62
0.5947,-86.13,0.35,-0.08,0.35,0.26,0.26,12.14845,0.0,0.0,0.0,0.0,0.0,5.86657,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,-82.9777,0.0,0.0,0.0,0.0,0.0,3.152,0.0653,0.7
0.6597,-84.99,0.35,-0.08,0.35,0.26,0.26,12.52451,0.0,0.0,0.0,0.0,0.0,5.69996,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,-82.0887,0.0,0.0,0.0,0.0,0.0,2.901,0.065,1.14
0.7293,-84.19,0.35,-0.08,0.35,0.26,0.26,12.91417,0.0,0.0,0.0,0.0,0.0,5.49231,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,-81.116,0.0,0.0,0.0,0.0,0.0,3.074,0.0696,0.8
