joint,angle_deg,direction,hold_pose,load_raw,load_mag,load_signed,load_l,load_h,api_current,voltage,temp
2,-60.0,up,0.0|0.0|0.0|0.0|0.0|0.0,293,293,293,37.625,1.125,1.125,146.625,23.0
2,-45.0,up,0.0|0.0|0.0|0.0|0.0|0.0,112,112,112,112.0,0.0,12.0,233.875,31.0
2,-30.0,up,0.0|0.0|0.0|0.0|0.0|0.0,72,72,72,72.0,0.0,4.0,234.25,31.0
2,-15.0,up,0.0|0.0|0.0|0.0|0.0|0.0,40,40,40,40.0,0.0,0.0,234.5,31.0
2,0.0,up,0.0|0.0|0.0|0.0|0.0|0.0,8,8,8,8.0,0.0,0.0,234.625,31.0
2,15.0,up,0.0|0.0|0.0|0.0|0.0|0.0,1056,32,-32,32.0,4.0,0.0,234.875,31.0
2,30.0,up,0.0|0.0|0.0|0.0|0.0|0.0,1072,48,-48,48.0,4.0,1.0,235.375,31.0
2,45.0,up,0.0|0.0|0.0|0.0|0.0|0.0,1104,80,-80,80.0,4.0,5.375,234.375,31.0
2,60.0,up,0.0|0.0|0.0|0.0|0.0|0.0,1120,96,-96,96.0,4.0,8.75,234.0,31.0
2,60.0,down,0.0|0.0|0.0|0.0|0.0|0.0,1120,96,-96,96.0,4.0,8.5,234.25,31.0
2,45.0,down,0.0|0.0|0.0|0.0|0.0|0.0,1128,104,-104,104.0,4.0,10.0,234.5,31.0
2,30.0,down,0.0|0.0|0.0|0.0|0.0|0.0,1096,72,-72,72.0,4.0,4.0,234.5,31.0
2,15.0,down,0.0|0.0|0.0|0.0|0.0|0.0,1056,32,-32,32.0,4.0,0.0,234.875,31.0
2,0.0,down,0.0|0.0|0.0|0.0|0.0|0.0,0,0,0,0.0,0.0,0.0,234.875,31.0
2,-15.0,down,0.0|0.0|0.0|0.0|0.0|0.0,32,32,32,32.0,0.0,0.0,234.875,31.0
2,-30.0,down,0.0|0.0|0.0|0.0|0.0|0.0,56,56,56,56.0,0.0,2.125,234.75,31.0
2,-45.0,down,0.0|0.0|0.0|0.0|0.0|0.0,72,72,72,72.0,0.0,4.0,234.5,31.0
2,-60.0,down,0.0|0.0|0.0|0.0|0.0|0.0,96,96,96,96.0,0.0,8.375,235.0,31.0
