idx,arrived,pos_err_deg,dir_spread,q1,q2,q3,q4,q5,q6,q1_cmd,q2_cmd,q3_cmd,q4_cmd,q5_cmd,q6_cmd,load2,load3,load4,load5,load6,load2_up,load3_up,load4_up,load5_up,load6_up,load2_dn,load3_dn,load4_dn,load5_dn,load6_dn
0,0,1.52,181.2,-5.18,81.91,-22.23,-12.21,8.78,31.2,-4.767,80.479,-22.978,-12.625,8.985,31.4,-13.416666666666664,52.0,-16.0,0.0,-4.0,77.16666666666667,56.0,-16.0,0.0,-8.0,-104.0,48.0,-16.0,0.0,0.0
1,1,1.27,32.0,71.01,-59.76,-94.04,-50.53,-11.16,57.65,71.375,-58.494,-93.594,-50.7,-10.942,57.917,80.0,-16.0,-9.916666666666668,0.0,0.0,64.0,-16.0,-10.333333333333334,0.0,0.0,96.0,-16.0,-9.5,0.0,0.0
2,1,1.42,48.0,-26.89,-90.17,50.0,65.39,-74.09,-84.99,-26.384,-88.749,50.63,65.133,-73.902,-84.8,88.0,-23.333333333333336,-14.0,0.0,-4.0,64.0,-22.666666666666668,-16.0,0.0,-8.0,112.0,-24.0,-12.0,0.0,0.0
3,1,0.59,2.7,39.81,17.66,-9.31,-58.71,9.22,-57.3,40.185,17.166,-8.814,-58.339,9.442,-57.127,-16.0,-9.333333333333332,16.0,0.0,0.0,-16.0,-10.666666666666666,16.0,0.0,0.0,-16.0,-8.0,16.0,0.0,0.0
4,1,1.11,24.0,-0.79,-72.33,60.46,36.03,-48.6,59.58,-0.378,-71.219,60.779,36.129,-48.416,59.797,68.0,-5.333333333333333,-10.75,0.0,0.0,56.0,0.0,-13.5,0.0,0.0,80.0,-10.666666666666666,-8.0,0.0,0.0
5,1,1.23,1.3,-42.36,42.89,15.9,-9.49,36.29,62.66,-41.904,41.661,15.142,-9.9,36.552,62.877,-88.0,48.0,-15.333333333333332,0.0,0.0,-88.0,48.0,-14.666666666666666,0.0,0.0,-88.0,48.0,-16.0,0.0,0.0
6,1,1.41,24.0,-32.16,60.38,-1.14,-60.38,64.68,-81.12,-31.793,59.232,-1.673,-60.089,64.906,-80.862,-92.0,40.0,4.666666666666667,0.08333333333333333,0.0,-104.0,40.0,0.0,0.0,0.0,-80.0,40.0,9.333333333333334,0.16666666666666666,0.0
7,1,0.58,9.3,17.05,-31.46,59.32,-19.68,-57.21,-23.99,17.429,-30.943,58.809,-19.616,-57.09,-23.792,20.0,24.0,-4.666666666666667,0.0,0.0,16.0,24.0,-9.333333333333334,0.0,0.0,24.0,24.0,0.0,0.0,0.0
8,1,0.81,8.0,-86.13,-22.5,-8.78,-5.0,-83.32,-61.52,-85.743,-21.69,-8.169,-4.722,-83.252,-61.31,56.0,-28.0,9.333333333333334,-4.0,0.0,56.0,-24.0,6.666666666666667,-8.0,0.0,56.0,-32.0,12.0,0.0,0.0
9,1,0.68,9.3,-20.83,8.78,19.42,-21.26,-45.35,-53.43,-20.417,8.191,18.943,-21.05,-45.141,-53.186,-28.0,28.0,-4.666666666666667,0.0,0.0,-32.0,32.0,-9.333333333333334,0.0,0.0,-24.0,24.0,0.0,0.0,0.0
10,1,1.36,40.0,31.2,-37.35,-73.03,-2.98,75.67,3.95,31.644,-35.993,-72.092,-2.616,75.782,4.141,84.0,-56.0,16.0,0.0,0.0,64.0,-56.0,16.0,0.0,0.0,104.0,-56.0,16.0,0.0,0.0
11,1,0.97,32.0,-23.55,3.51,87.89,62.31,-0.79,-59.85,-23.154,2.891,87.167,62.155,-0.496,-59.618,-48.0,52.0,-8.083333333333334,4.0,-4.0,-64.0,56.0,-9.5,0.0,-8.0,-32.0,48.0,-6.666666666666667,8.0,0.0
12,1,1.25,26.7,62.66,79.8,-87.01,91.66,0.52,-59.06,63.13,78.901,-87.087,91.207,0.929,-58.832,-74.66666666666667,14.0,-16.0,4.0,0.0,-88.0,16.0,-16.0,0.0,0.0,-61.333333333333336,12.0,-16.0,8.0,0.0
